Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ZBTB40_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.30	0.05	ZNF276;GTF3C1;MACF1;POM121;AKNA;MAML1;DOCK8;INPPL1;PIK3CD;ITGAL;ETS1;SMG5;SNX1;PPP6R1;ZMIZ2;PSD4;TBC1D10C;CMTR1;ZNF740;WDTC1;USP24;KL;NSUN5P1;DENND4B;TMC8;ARHGEF18;TBC1D2B;ATP11B;ATP11A;EML3;CDC25B;ZAP70;GVINP1;PACS1;CCDC88C;MAPKAPK2;RAPGEF1;ENGASE
NCOA1_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.30	0.05	SLC24A2;CAMK2B;MACF1;AKNA;CPQ;DOCK8;MYCBP2;LST1;FAM129A;DYSF;PTPRJ;HTR2A;MTND4P24;SENP6;DOCK11;SPOCK2;CLASP1;GCA;SEMA4D;APAF1;PCGF5;PRKCB;CARD8;ATP11B;DICER1;ITPKB;MTCYBP18;GVINP1;VNN2;WNK1;GNAQ;FAT3;STRN;LCP2;PLCB1;MXD1;MCTP2;YPEL2
TCF7L2_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.30	0.05	DCLRE1C;GPR22;MGST1;SLC2A3;LIN7C;LCLAT1;GTF2E1;STRN3;GJC1;UGP2;CEP70;RBPMS2;ARID2;MTPAP;TCEAL9;SH3D19;ZNF121;SEMA6A;CXADR;NLGN4X;PAWR;GULP1;ENAH;MTAP;SFRP1;SFRP2;TMEM98;CTTN;SMO;TBL1XR1;ESRP1;MFAP2;ESYT3;CENPN;ALDH7A1;TDGF1;NECTIN3;FGFR2
LMX1A_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.39	0.05	COLEC12;CETN2;STMN2;NREP;DNALI1;NBPF25P;NKD1;NPAS3;MTATP8P2;CASP12;DACH1;ZNF506;HES1;SOX9;SRGAP3;MEST;ZNF521;TRPM3;C3ORF58;TMEM132C;SLC13A4;IRX5;H3F3A;NR2F1;ALMS1P1;WDR54;VANGL2;ARMC10;ID4;FAT3;ALDH7A1;FJX1;UPF3AP1;NECTIN3;FGFR2;RNF165;SPACA9
SOX4_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.28	0.05	DCLRE1C;STMN2;SLCO5A1;NREP;GNG2;ZNF286B;ITGB8;KIF21A;CEP170;SRGAP3;PAK3;ARID2;C3ORF14;SLC10A4;MAGI1;CXADR;CADM1;ST8SIA2;TSC22D2;SHISA2;MAPK10;ENAH;GSTA4;NFIB;TBL1XR1;ZNF737;ZNF714;C18ORF32;ZNF536;PXYLP1;FXYD6;MDM4;TCF4;SSBP2;ZNF532;CD200;UBE2Q2P2;RNF165
ZIC3_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.28	0.05	ZNF254;LDB2;GJC1;GPR176;UGP2;AP1S2;RBPMS2;DNMT3B;NAALAD2;HAS2;PHGDH;GPC4;NUDT15;MEST;ZNF521;CDON;TCEAL9;SEMA6A;CXADR;NLGN4X;PAWR;KLHL23;GULP1;HAUS1;CLDN6;SFRP1;FRAS1;SFRP2;VANGL2;MSH2;STK26;ZNF714;MFAP2;ALDH7A1;TDGF1;ZNF532;PHC1P1;BMPR1A
NKX3-2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.38	0.05	IFITM3;FOXC1;CCL11;IER5L;MFSD8;C1QTNF3;DNAJB1;RPS16;IRAK1;TNN;PES1;COL10A1;HES1;LRIG3;PTGFRN;APOL2;BCHE;BATF3;VWFP1;JUN;POSTN;FZD6;NR2F1;COPZ2;TRPV3;ZNF300P1;ATAD3A;GRIN2D;KIAA1217;COL1A1;PKM;LOX;UBE2S;MFAP2;NOX4;ROR2;CNIH3
SCRT1_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.28	0.05	GPSM1;CAMK2B;CNTFR;GPM6A;SPTBN4;BRSK2;TMEM59L;AGAP2;STMN3;ENO2;SEZ6L2;KLC1;BEGAIN;MAP1LC3A;KLC2;TP53INP2;RSPO3;SLC17A7;NCAM1;EVI5L;ASIC1;PACSIN1;LRRC4B;AOC2;KCNJ9;CCDC136;ALMS1P1;EBF3;ATP1B2;SEPT4;HPCAL4;GRIN2D;SBK1;RAB15;REEP2;NACAD;NPTXR;CERS1
ZNF69_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.38	0.05	ZNF254;GTF2IRD2P1;EEF1A1P6;DPY19L2P4;CEP295NL;C4ORF19;NREP;ZNF8;FAM221A;ITPRIPL1;HCAR1;KIAA1841;ZNF286B;HEATR4;SRGAP3;POLK;ZNF124;MFSD4B;CTC1;CXADR;NLGN4X;ZNF480;AC083899.1;ARHGAP28;SSTR2;IRGQ;RPS4XP5;SESTD1;FAM153C;ZNF714;PXYLP1;ZNF556;NF2;SSBP2;CCDC150;UBE2Q2P2;ZNF431
UNCX_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.37	0.05	GPM6A;C11ORF95;BRSK2;TMEM200B;NXPH4;MAGEF1;STMN2;STMN3;KLHL35;SEZ6L2;KLC1;LRRC55;NCMAP;MT-ATP6;EFS;PCBP4;SVBP;RSPO3;GAL3ST3;ASIC1;LRRC4B;CHST8;SBSPON;H3F3A;EBF3;LDOC1;C1ORF122;RPL3P4;PGM5P2;GAP43;SBK1;RAB15;REEP2;H3F3AP4;ZNF579;NACAD;RNF165
REPIN1_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.27	0.04	GTF3C1;POM121;INPPL1;SLC38A10;SMG5;APH1A;PTBP1;DPP7;IRAK1;C6ORF106;PPP6R1;ZMIZ2;AKT2;PES1;NACC1;TMEM129;MLEC;SDF4;PRKACA;CMTR1;WDTC1;USP5;PTGES2;KIAA2013;ATAD3A;SREBF2;EML3;PFKL;FASN;CARM1;MAPKAPK2;MGAT4B;ERF;NUCB1;CHMP4B;LSM14B;ERGIC1;CERS2
PTF1A_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.36	0.04	PNMT;SLC24A2;BRSK2;KLK1;CRYBG3;ARHGEF28;GLRX;C2CD4B;MTRNR2L1;HID1;ADAMTS3;MLX;PHF24;NRTN;STXBP6;STUM;SLC25A25;PDIA2;RPH3AL;TLE1;HOMER2;ZNF480;RASL10B;PAX3;SYT15;ADRA2A;TPST2;GOLGA8B;NR5A2;POLR3B;NAV3;HOOK2;NFIB;TBC1D24;MATN4;RAB9B;LLGL2
HMGA1_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.26	0.04	SRPX;AHCY;WDR1;ARL2;SLC1A5;PKMYT1;WDR46;PRSS23;CST2;PTBP1;PLAU;PES1;NACC1;RBPMS2;DNMT3B;PLEK2;MYBL2;FADD;PDLIM7;ICMT;USP5;PDAP1;ATAD3A;ETV4;FOSL1;NET1;CLDN6;PKM;UBE2S;RAB34;CARM1;SERBP1;NMT1;ERF;PLIN3;TKT;MFGE8;GAPDH
RUNX2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.35	0.04	SCT;DOCK8;LST1;N4BP2L1;PPM1J;LSP1;ARHGAP15;SAMHD1;BACH1;TWF1P1;ZFP36L2;ERLEC1;TRIM4;STAMBPL1;FCHO1;CNTRL;AP1S2;RAC2;LRRC8C;TMEM109;LRRFIP1;CD34;HERC6;C16ORF54;SRGN;CARD8;XKR8;APBB1IP;PTPRE;SELL;GNAQ;P2RX1;IRF8;LCP2;PTPN7;CD69;IL7R
ZBTB46_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.34	0.04	CNTFR;C11ORF95;BRSK2;STMN3;KLHL35;SEZ6L2;KLC1;EFS;PCBP4;PLXNA1;NCAM1;EVI5L;PATZ1;VARS2;ASIC1;CD276;PLXNA3;B4GALNT4;CHST8;F8A1;CENPV;MCF2;SEMA4C;EBF3;ADRA2A;SMARCA4;C1ORF122;HIC2;SBK3;GNAL;SBK1;SMO;REEP2;DCHS1;NACAD;MEGF8;LSM14B
ZNF300_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.25	0.04	RTN3;MAGED1;STMN2;NREP;KLC1;TXNDC16;TPGS2;GNG2;CUX2;KIAA1841;KIF21A;NCAM1;CEP170;KIFAP3;USP47;RBFOX2;CXADR;CADM1;ST8SIA2;H3F3A;MAGI2;PBX3;DCLK2;SOX11;KLHL23;SLC16A14;NUP93;MAPK10;GSTA4;RRAGB;ZNF714;C18ORF32;FXYD6;TCF4;SSBP2;ZNF532;CD200;RNF165
DLX6_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.33	0.04	GPM6A;RTN3;CMAS;MAGED1;NREP;KLC1;PRKCZ;GNG2;SVBP;NKIRAS2;ST8SIA5;KIFAP3;RRN3P3;RALGPS1;RAB2A;USP47;RBFOX2;CXADR;H3F3B;ST8SIA2;SOX11;SLC16A14;RAB33A;MAPK10;IQCK;GSTA4;ARL2BP;RRAGB;CSDC2;PPP2R2B;ZNF737;C18ORF32;FXYD6;TCF4;SSBP2;PTPN5;CD200
SREBF2_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.24	0.04	GTF3C1;POM121;CUL7;PTPRS;TMEM63B;DCTN1;INPPL1;SMG5;ADD1;APH1A;NDST1;PTBP1;RIMS4;KLC2;FAM168A;MPRIP;PPP6R1;ZMIZ2;NACC1;SDF4;PLXNA1;MAP4;YKT6;B4GALNT4;CLUH;USP5;SMARCA4;PFKL;PKM;FASN;DNAJC5;CARM1;MGAT4B;RAPGEF1;ERF;MEGF8;LSM14B;CDK16
NFE2L3_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.23	0.04	AHCY;MEPCE;CTNND1;SLC1A5;F11R;PTBP1;GPR176;UGP2;HTR7;NACC1;RBPMS2;DNMT3B;MLEC;EIF4B;ICMT;SEMA6A;NLGN4X;HMGA1;PAWR;MASTL;USP28;MEX3C;ETV4;GULP1;FOSL1;CLDN6;SFRP1;SFRP2;FRAS1;MSH2;ESRP1;SERBP1;SRSF2;MCM6;TKT;MFGE8;TDGF1;PHC1P1
DBX1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.31	0.04	CRB2;CNTFR;PTPRS;PKDCC;ASAP3;FIGNL2;KLHL35;NREP;DTX4;KLC1;MCHR1;DACH1;EFS;PCBP4;SACS;PLXNA1;CKB;SRGAP3;B4GALNT4;EGR1;TLE1;PHF10;MYOC;IRX5;PBX3;NR2F1;PAX3;SSTR2;SMARCA4;SFRP2;VANGL2;GSTA4;SMO;DCHS1;TOX;NES;SPSB4
ZNF608_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.23	0.04	CNTFR;C11ORF95;BRSK2;PTPRS;MAGEF1;STMN2;CACNA1B;NREP;PPP1R9A;CUX2;DACH1;PCBP4;PEG10;NCAM1;CEP170;SRGAP3;PAK3;CDON;B4GALNT4;MAGI1;RBFOX2;SEMA6A;ST8SIA2;CCDC136;DCLK2;SDK1;VANGL2;SBK1;GSTA4;DCHS1;NACAD;TCF4;KIAA1958;PTPN5;ZNF532;NES;SPSB4;RNF165
UBP1_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.23	0.04	GTF3C1;POM121;WDR1;MAML1;INPPL1;GSPT1;SMG5;APH1A;PTBP1;MPRIP;IRAK1;C6ORF106;PPP6R1;PES1;NACC1;MLEC;YKT6;CMTR1;EIF4B;CLUH;DENND4B;ZFP91;ATP11B;SREBF2;RALGAPB;SH3BP5L;WNK1;CARM1;SERBP1;MAPKAPK2;MGAT4B;RAPGEF1;ERF;CHMP4B;STRN;LSM14B;ERGIC1;CERS2
FOXJ2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.30	0.04	RNF10;BTG2;AKNA;FAM89A;NATD1;DYSF;PIK3CD;PTPRJ;ARRB2;LY9;ADD1;MPRIP;TMEM127;PPP6R1;PSD4;TAGAP;SDF4;PRKACA;MAF1;WDTC1;PLEKHG3;DENND4B;ARHGEF18;ANXA11;EML3;HLA-E;SIGIRR;ABTB1;SH3BP5L;WNK1;PACS1;MAPKAPK2;RAPGEF1;BMP2K;UBAP1;STK40;MYO1F
RAPGEF5_human_tf_ARCHS4_coexpression	38/299	0.85	1.00	0.00	0.04	0.11	-0.22	0.04	SLC24A2;CAMK2B;SPTBN4;MYRF;RASGRF2;AGAP2;ADCY1;PRKCZ;SYNPR;UGT8;FAM168A;TP53INP2;NACC2;CHN1;ADORA1;PHF24;DLGAP1;SLC17A7;MAPK4;PACSIN1;BCAS1;GPR37;CADM2;SORT1;KCNJ9;SCD5;GRIN2C;ATP1B1;SEPT4;HPCAL4;QKI;ARHGAP32;KCNS1;CNTN1;APBA1;SCN2A;PLCB1;NPTXR
CREB3L4_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.28	0.03	ISYNA1;SYCP2;SEMA3C;ZBTB42;GATA3;COMT;HID1;CLN3;MUC1;MYO6;RHPN1;TMED3;PATZ1;MKRN2OS;TFAP2C;PAQR7;IRX5;CDC42BPG;RITA1;CTPS2;PRLR;ESR1;SUMF2;NMRAL1;CNKSR1;RAD51C;TSPAN13;SPINT1;HOOK2;FASN;NABP2;TRIM37;PRKD1;ERG;ACPP;STEAP2;LLGL2
HEY2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.28	0.03	C11ORF96;RASL12;LAMC3;GJC1;RGS5;UGP2;GPER1;KDR;RBPMS2;DNMT3B;HES1;MYOZ3;OR7E47P;NUDT15;C3ORF58;TCEAL9;GUCY1A2;BCHE;JUN;RBFOX2;TLE1;SEMA6A;ANGPT2;NLGN4X;ITGA1;KLHL23;QKI;SFRP2;VANGL2;MSH2;PARD3;TNMD;NOSTRIN;ID4;ITGB1BP2;TDGF1;ZNF532
ZNF292_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.27	0.03	ZNF254;NREP;ZNF8;PPP1R9A;N4BP2L2;CCDC144A;ZNF280D;KIAA1328;GNG2;HCAR1;ZNF605;KIAA1841;REV3L;KIF21A;SRGAP3;PAK3;MORC4;CXADR;ZNF480;MAGI2;SOX11;DDHD1;C12ORF76;GSTA4;TEX9;ZNF714;HECW1;SPIRE2;TLL2;WDPCP;PHIP;MDM4;TCF4;FGF13;SSBP2;UBE2Q2P2;ZNF431
NR0B1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.26	0.03	CD63;PTPRN;ARL1;ARHGAP1;C2CD4B;LIN7C;CAMKK1;PAPSS2;RAB21;ADAL;SCGN;ACVR1C;KIAA1324;PLCE1;C3ORF14;CHGA;EGR1;RPH3AL;ATP6V0E1;WSB2;TMEM176B;NR0B2;MPP6;BMP5;TMEM37;SPCS1;SLC7A8;ALDH1A1;RIMBP2;TBC1D24;CNTN1;SRPRB;CPE;CYSTM1;TCTA;PAM;SCG2
FOXD3_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.24	0.03	AHCY;MGST1;PTBP1;GPR176;UGP2;HTR7;MPZ;NACC1;RBPMS2;DNMT3B;PHGDH;CHML;GPC4;PELP1;CENPU;SEMA6A;NLGN4X;HMGA1;PAWR;PDAP1;FAM136A;GULP1;CLDN6;SFRP1;CARHSP1;SFRP2;FRAS1;MSH2;SMO;UBE2S;ESRP1;SERBP1;MFAP2;MCM6;MFGE8;TDGF1;PHC1P1
ZNF248_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.23	0.03	GPM6A;RTN3;IGSF1;TMEM59L;NREP;ENO2;KLC1;GNG2;TSPAN7;HMCN2;KIF21A;NCAM1;CEP170;SRGAP3;KIFAP3;PAK3;RALGPS1;RBFOX2;CADM1;ST8SIA2;MCF2;DIO2;SOX11;LDOC1;SEZ6L;SLC16A14;ENOX1;MAPK10;GSTA4;SLMAP;FXYD6;SCN2A;KIAA1958;SSBP2;PTPN5;CD200;RNF165
ATOH1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.23	0.03	SLC26A2;ST6GALNAC1;CCL11;HPGD;REP15;ATP10B;MST1R;HSD17B11;KHK;JCHAIN;HSD11B2;DACH1;TSPAN8;CA4;FAM3B;SLC16A2;IGHA2;TINAG;GBP3;IGHV3-74;VDR;FBXO39;PLEKHG6;NR2F1;ANO9;APOA4;ACE2;CEACAM1;KLF5;CLDN15;TMEM54;FABP6;MYO5B;TBX10;GPR160;TFF3;LHX9
ZEB2_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.23	0.03	MACF1;DGKE;DOCK8;MYCBP2;BACH1;N4BP2L2;CCDC144A;FAM107B;DOCK11;GNG2;TMEM127;ZNF286B;NCAM1;CEP170;ZNF501;GUCY1A2;PBRM1;STARD8;NTRK3;TEX35;DICER1;DDHD1;PPP2R3A;TMEM150C;MPP6;MED26;QKI;PHF20L1;PTPRE;RPS4XP5;DAB1;NFIB;RAB15;MDM4;TCF4;FGF13;ECT2L
FOXG1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.22	0.03	DOC2GP;DCLRE1C;GPR22;RORB;NREP;LRRC55;TTC28;LDHC;CUX2;EFS;KIAA1841;ZNF286B;KIF21A;NCAM1;CEP170;SRGAP3;C3ORF14;CDON;SOX5;CENPV;RBFOX2;CXADR;ST8SIA2;NTRK3;MAGI2;KLHL23;ENAH;DAB1;GSTA4;NFIB;HECW1;FXYD6;PHIP;TCF4;ZNF532;UBE2Q2P2;RNF165
FEZF1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.22	0.03	MAGED1;MAGEF1;KLHL35;RORB;NREP;ENO2;KLC1;LRRC55;TPGS2;EFS;PCBP4;SVBP;MYO6;KIAA1841;ZNF449;RSPO3;SRGAP3;CYYR1;ZNF521;GAL3ST3;CHST8;SBSPON;CENPV;CXADR;H3F3A;SOX11;KLHL23;WDR54;GSTA4;MAK;MFAP2;H3F3AP4;NACAD;CD200;UBE2Q2P2;LHX9;RNF165
FOXK1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.22	0.03	GTF3C1;MACF1;POM121;TRIO;PTPRS;NOTCH1;INPPL1;ADD1;ELK4;MROH1;FAM168A;MPRIP;SCRN1;PPP6R1;ZMIZ2;AKT2;NACC2;MICALL1;PLXNA1;PGPEP1;POLR2J3;CLUH;MORC4;SREBF2;EPN1;ITPKB;SDK1;PFKL;NPLOC4;WNK1;PACS1;POLR1A;NFIC;DNAJC5;ERF;MEGF8;CDK16
HOXC4_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.21	0.03	GTF3C1;POM121;FOXC1;MAML1;NXPH4;INPPL1;SLC1A5;PKMYT1;SMG5;COCH;PTBP1;KLC2;IRAK1;ZMIZ2;AKT2;PES1;MYBL2;VARS2;AMH;PLXNA3;PELP1;EGR3;CLUH;TMEM132E;DMPK;NAA10;JMJD8;ATAD3A;MAPK12;UBE2S;CARM1;SERBP1;ERF;UBA2;HOXB7;TRIM11;CDK16
ZNF804A_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.21	0.03	CEP295NL;STMN2;BHLHE22;NREP;PCDH19;NCMAP;FAM168A;ZSCAN31;MAT2A;SVBP;ZNF605;TLDC1;DLGAP1;NCAM1;CEP170;SRGAP3;POLK;ZNF521;CLASP1;SOX5;RBFOX2;AC024060.1;CACNA2D1;NTRK3;SOX11;SORCS1;ZNF300P1;HPCAL4;RPS4XP5;KATNAL1;SESTD1;PPP2R2B;CDC42EP3;IL1RAPL1;PXYLP1;NACAD;DSCAML1
ZNF404_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.21	0.03	ZNF254;MAGED1;NREP;NPAS3;GNG2;CEP70;ZNF286B;ZNF701;ITGB8;ZNF567;SRGAP3;KIFAP3;RAB2A;CXADR;ST8SIA2;WDR19;SOX11;WDR54;SLC16A14;LZTFL1;MOB3B;MAPK10;ADAM18;GSTA4;TBL1XR1;ZNF737;ZNF714;C18ORF32;ZNF536;TAF7;PXYLP1;FXYD6;TCF4;PPIL3;COPS8;SSBP2;RAB9B
DSP_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.20	0.02	LAD1;CSTA;KRT80;SEMA3C;ARHGEF28;CTNND1;CLTB;LAMC2;SNX33;PTPRK;F11R;CXCL14;PTPRF;FAM83G;PPP1R13L;COBLL1;MICALL1;PTGFRN;ITGB6;SH3D19;CERS3;GALNT3;CDC42BPG;AHNAK2;FZD6;RIPK4;KIAA1217;NET1;FERMT1;KLF5;SPINT1;MYO5B;ESRP1;FAT2;DSG1;DSC1;PHLDB2
ZNF414_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.28	0.02	CAMK2B;GPM6A;ZBTB8A;USP27X;HEPACAM;RGS16;CBWD3;KLHL34;KIAA1210;MTND4P24;TTC28;SULT1A1;FKBP9P1;DPP6;RPS6KA6;RASGEF1B;ME2;MORC2;KCNJ2;CNTLN;KCNJ3;LRRC69;PAQR7;CADM1;EYA1;MYO10;HSPA4;GFPT1;KCNJ15;POU2F3;MTCYBP18;IRF1;NABP1;MIXL1;RNF122;CDKL1
ZNF746_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.20	0.02	VIPR1;AKNA;TMEM200B;FPR1;NCF1B;DYSF;PIK3CD;PTPRJ;CSF2RB;LSP1;ARRB2;CFP;LIMD2;ADGRG3;C6ORF203;CHST15;CD300LB;FFAR2;WDTC1;NTNG2;NFAM1;LILRB2;TNFRSF1B;HLA-E;OSCAR;CEACAM3;FGR;ABTB1;VNN2;ATG16L2;PACS1;ADAM8;PLEKHO2;MXD1;STK40;IL18R1;MYO1F
NPAS1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.20	0.02	CRB2;B4GALT2;FOXC1;LEPROT;PRR7;AHCY;MRPS12;SLC1A5;PKMYT1;SMG5;PTBP1;CASP7;RPS16;IRAK1;PES1;NACC1;RHPN1;MYBL2;PHGDH;CILP2;NRTN;RABAC1;PELP1;ANKDD1B;NAA10;C9ORF116;ATAD3A;C1ORF122;PTBP3;MAPK10;UBE2S;GIPC1;CARM1;SRSF2;ERF;MAP3K10;CDK16
GFI1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.20	0.02	DENND1C;CEBPA;POM121;AKNA;DOCK8;SLC38A10;PIK3CD;CD3E;ITGAL;CORO1A;PTBP1;SEPT6;PPP6R1;PSD4;CNTRL;RAC2;TBC1D10C;ELANE;SRGN;NTNG2;DENND4B;SEMA4D;EDEM1;TMC8;TBC1D2B;RUNX3;ATAD3A;DGKZ;EML3;APBB1IP;ZAP70;P2RX1;CCDC88C;LCP2;BPI;PTPN7;MYO1F
CAMTA1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.19	0.02	SLC24A2;CAMK2B;RTN3;BRSK2;TMEM59L;STMN2;ADCY1;ENO2;SEZ6L2;RIMS1;PGRMC1;DPP6;TSPAN7;CHN1;PHF24;KIF21A;DLGAP1;SLC17A7;NCAM1;SRGAP3;PAK3;CADM2;TMEM178A;KCNJ9;NTRK3;ATP1B2;HPCAL4;MAPK10;GAP43;B4GAT1;PPP2R2B;RCAN2;HECW1;C16ORF45;APBA1;NACAD;SCN2A
SALL4_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.19	0.02	SLC2A3;GTF2E1;GJC1;GPR176;UGP2;RBPMS2;DNMT3B;PHGDH;GPC4;NUDT15;CENPU;ZNF121;SEMA6A;CXADR;NLGN4X;PAWR;SHISA2;FAM136A;GULP1;HAUS1;ENAH;CLDN6;SFRP1;CDK7;SFRP2;FRAS1;MSH2;TBL1XR1;STK26;ESRP1;ZNF714;MFAP2;ALDH7A1;TDGF1;SRSF7;ZNF532;PHC1P1
ATF4_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.19	0.02	B4GALT2;GTF3C1;POM121;FOXC1;AHCY;MEPCE;INPPL1;SLC1A5;SMG5;APH1A;PTBP1;IRAK1;C6ORF106;PPP6R1;PES1;NACC1;MYBL2;PHGDH;YKT6;RPS9;ICMT;CLUH;USP5;PDAP1;ATAD3A;SREBF2;YRDC;UBE2S;CARM1;SERBP1;MAPKAPK2;NMT1;ERF;CHMP4B;TKT;LSM14B;CDK16
FIZ1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.18	0.02	POM121;MEPCE;INPPL1;SMG5;APH1A;PTBP1;KLC2;DPP7;IRAK1;PPP6R1;ZMIZ2;AKT2;PES1;NACC1;SDF4;PRKACA;YKT6;WDTC1;CLUH;DENND4B;PTGES2;TFE3;PDAP1;ATAD3A;DGKZ;SREBF2;EPN1;EML3;SH3BP5L;DNAJC5;CARM1;MAPKAPK2;MGAT4B;ERF;NUCB1;CHMP4B;STK40
HIVEP1_human_tf_ARCHS4_coexpression	37/299	0.88	1.00	0.00	0.05	0.14	-0.18	0.02	MACF1;CIITA;CD83;BCL2A1;MYCBP2;TNFAIP3;MTRNR2L8;MTRNR2L1;NR3C1;BACH1;IKZF3;ELK4;GPR132;KIAA1328;NFKBIZ;REV3L;TNFRSF8;ZNF267;RNF111;POLR2J3;USP24;DUSP2;MORC4;EDEM1;GPR55;ATP11B;DICER1;DDHD1;RUNX3;MCOLN2;GVINP1;WNK1;IRF4;TET3;WDPCP;CD48;ERCC6
PLAGL1_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.25	0.02	ISYNA1;TNXA;FLT4;BACH1;PLD2;MROH1;SENP6;ADAMTS5;EGFLAM;RAB40B;REV3L;LRRC8C;ZNF446;L3HYPDH;CD34;GABPA;CNTLN;OSR2;ABCA8;ST6GALNAC4P1;NAP1L4;SMOC2;COL3A1;NEMP2;GSTA4;MDFIC;RAB34;NOSTRIN;LNX1;FKBP7;PHIP;PRKD1;MCTP2;PAM;MATN2;ITGA9
ZNF266_human_tf_ARCHS4_coexpression	36/299	0.92	1.00	0.00	0.07	0.19	-0.24	0.02	ZNF276;DENND1C;CIITA;TRAF3IP3;AKNA;CEP295NL;CXCR4;PIK3CD;CTCF;LIMD2;FAM216A;PSD4;MARC1;TBC1D10C;UTP20;STXBP6;ARID2;MORC2;RPP38;PRIMA1;C16ORF54;MCCC1;SYTL1;TMC8;TRPV3;TBC1D2B;C6ORF141;ZDHHC14;BST1;HSH2D;SELL;PXYLP1;MDM4;ROR2;PAXBP1;SRSF7
